2022-10-14 19:24:15 | 5 + 2 = 7
2022-10-14 19:26:25 | 5 - 8 = -3
2022-10-14 19:28:00 | 5 * 12 = 60
2022-10-14 20:14:49 | 5 + 6 = 11
2022-10-14 20:15:59 | Ошибка ввода данных
2022-10-14 20:16:07 | 11 + 5 = 16
2022-10-14 23:14:57 | 5 - 5 = 0
2022-10-14 23:16:18 | 4 - 4 = 0
2022-10-14 23:18:10 | 5 + 5 = 10
2022-10-14 23:22:07 | 5 + 9 = 14
2022-10-14 23:22:19 | 14 - 9 = 5
2022-10-14 23:23:20 | Ошибка ввода данных
2022-10-14 23:23:33 | 5 - 0 = 5
2022-10-14 23:23:37 | Ошибка ввода данных
2022-10-14 23:23:51 | Ошибка ввода данных
2022-10-14 23:23:57 | 5 * 10 = 50
2022-10-14 23:24:13 | Ошибка ввода данных
2022-10-14 23:24:15 | Ошибка ввода данных
2022-10-14 23:24:36 | 50 * 8 = 400
2022-10-14 23:24:55 | Ошибка ввода данных
2022-10-14 23:25:06 | 400 - 9 = 391
2022-10-14 23:25:31 | 391 + 12 = 403
2022-10-14 23:26:03 | 403 - 1 = 402
2022-10-15 11:54:42 | 5 + 5 = 10
2022-10-15 11:54:58 | 10 + 9 = 19
2022-10-15 11:56:03 | Ошибка ввода данных
2022-10-15 11:56:18 | 19 + 5 = 24
2022-10-15 11:56:25 | 24 + 9 = 33
2022-10-15 11:56:25 | Ошибка ввода данных
2022-10-17 22:52:07 | 7+6*2 = 19
2022-10-17 22:53:33 | 5+5/4 = 6.25
2022-10-17 22:56:36 | 5+27/7 = 8.857142857142858
2022-10-18 07:05:54 | 55+5*2/4 = 57.5
2022-10-18 07:07:57 | 5+10/2 = 10.0
2022-10-18 11:13:52 | 3+5/4 = 4.25
2022-10-18 11:21:46 | 5 - 9 = -4
2022-10-18 11:58:46 | 5+5/3 = 6.666666666666667
2022-10-18 11:59:52 | 6 + 5 = 11
2022-10-18 12:04:50 | 7*8/4 = 14.0
2022-10-18 12:05:48 | 5 - 7 = -2
2022-10-18 12:06:47 | 7-6*5 = -23
